"Input","Query"
"şehirler tablosundaki nüfusu az olan 2 şehri getir","SELECT * FROM cities ORDER BY Pop ASC LIMIT 2;"
"filmler tablosundan Peter Robert Jackson a ait filmlerin listesi nedir","SELECT * FROM films WHERE Director = peter robert Jackson '"
"filmler tablosunda Nuri Bilge Ceylan tarafından yönetilen filmler","SELECT * FROM films WHERE Director = 'Nuri bilge ceylan '"
"işçiler tablosundaki işçilerin isimlerini ve tüm maaşlarını büyükten küçüğe doğru sırala listele","SELECT Name ,Salary FROM employees ORDER BY Salary ASC"
"çalışanlar tablosunu temizle","DELETE FROM employees;"
"hava durumları tablosunda sıcaklığı en düşük ilin bilgilerini yazdır","SELECT * FROM weatherConditions WHERE MIN(Temp)"
"öğrenciler tablosunda ilahiyat bölümüne ait öğrenciler kimler","SELECT programs.ProgramCode,programs.Name,students.Name FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”İlahiyat”"
"filmler tablosunda 2022 de çıkan ilk filmin adı ne","SELECT FilmName FROM films WHERE FilmDate= 2022 ORDER BY FilmDate ASC LIMIT 1"
"hasta kabul tablosundan son 1 saatte gelen hastaları ekrana göster","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE())"
"şehirler tablosundaki nüfusları çoktan aza doğru isimleriyle birlikte sırala","SELECT Name,Pop FROM cities ORDER BY Pop DESC;"
"hava durumları tablosunda en yüksek sıcaklığa ait il hangisi","SELECT CityName FROM weatherConditions WHERE MAX(Temp)"
"dersler tablosunda hangi dersler 4 kredi","SELECT * FROM lessons WHERE credit=4"
"ürünler tablosundan birim fiyatı en düşük ürünü yazdır","SELECT ProductName,MIN(Price) FROM products"
"personeller tablosundan adresi olan tüm herkesi yazdır","SELECT * FROM employees WHERE Address IS NOT NULL;"
"öğrenciler tablosundan 325654 numaralı öğrencinin final notlarını göster","SELECT students.No,Final FROM students WHERE No= 32564;"
"hammaddeler tablosundan kalan miktar 20 tondan aşağı olanları getir","SELECT Name,Remaining FROM rawMaterials WHERE Remaining <20"
"hava durumları tablosunda en soğuk ilin bilgileri nelerdir","SELECT * FROM weatherConditions WHERE MIN(Temp)"
"şehirler tablosundaki nüfusları çoktan aza doğru şehir isimleriyle birlikte sırala","SELECT Name,Pop FROM cities ORDER BY Pop DESC;"
"personeller tablosundan selvi desen nerede oturuyor","SELECT Address FROM employees WHERE Name = 'selvi desen';"
"öğrenciler tablosuna en son eklenen 25 kız öğrenciyi numaralarına göre sırala","SELECT * FROM students WHERE Gender= “kadın” ORDER BY No DESC LIMIT 10;"
"çiçekler tablosunu sil","DELETE FROM flowers;"
"unvanlar tablosundan tıbbi sekreterlerin isimlerini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Tıbbi Sekreter"""
"şehirler tablosundaki nüfusu az olan 5 şehri getir","SELECT * FROM cities ORDER BY Pop ASC LIMIT 5;"
"şehirler tablosundaki nüfusları azdan çoğa doğru şehir isimleriyle beraber sırala","SELECT Name,Pop FROM cities ORDER BY Pop ASC;"
"öğrenciler tablosunda işletme bölümüne ait kaç öğrenciler var","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE program.Name=”İşletme”"
"filmler tablosundan İngiliz yapımı filmlerden en uzun süreli film hangisidir","SELECT films.Name, countries.CountryName ,MAX(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""İngiltere”"
"dersler tablosundaki 4 kredili dersleri listele","SELECT * FROM lessons WHERE credit=4"
"randevular tablosundan Ali berk doktorunun hastalarını göster","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”ali berk ”"
"personeller tablosundan telefon numarası olmayan kişiler kimlerdir","SELECT * FROM employees WHERE Phone_Number IS NULL"
"filmler tablosundan tüm film kayıtlarını sil","DELETE FROM films"
"kargolar tablosundan yurtiçi kargosunun kullanıldığı ürünleri listele","SELECT cargoes.CargoName,orders.OrderId FROM cargoes INNER JOIN orders ON cargoes.CargoId =orders.CargoId WHERE CargoName=”Yurtiçi”"
"ilaçlar tablosunu temizle","DELETE FROM medications ;"
"öğrenciler tablosunda ilahiyat bölümüne ait kaç öğrenciler var","SELECT programs.ProgramCode,programs.Name,students.Name FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”İlahiyat”"
"şehirler tablosundaki nüfusu en az olan şehir hangisidir","SELECT MIN(Pop ) FROM cities;"
"şehirler tablosundaki nüfusları azdan çoğa doğru şehir isimleriyle beraber ilk 2 sini sırala","SELECT Name,Pop FROM cities ORDER BY Pop ASC LIMIT 2;"
"dersler tablosunda aysen taksöz hocanın verdiği ders isimlerini getir","SELECT LessonName FROM lessons WHERE Teacher= aysen taksöz'"
"kargolar tablosundan yurtiçi kargosu dışındaki diğer kargoların kullanıldığı ürünleri listele","SELECT cargoes.CargoName,orders.OrderId FROM cargoes INNER JOIN orders ON cargoes.CargoId =orders.CargoId WHERE CargoName !=”Yurtiçi”"
"hava durumları tablosunda en soğuk il hangisi","SELECT CityName FROM weatherConditions WHERE MIN(Temp)"
"filmler tablosundan uzunluğu en fazla olan film nedir","SELECT MAX(Duration) FROM Films"
"dersler tablosundan kredi sayısı 4 ün üstündeki dersleri sırala","SELECT * FROM lessons WHERE credit >4"
"hastalar tablosundan kan grubu AB olan erkek hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB “ AND Gender =”erkek”"
"kargolar tablosundan ptt kargosu dışında kargoların ürünleri listele","SELECT cargoes.CargoName,orders.OrderId FROM cargoes INNER JOIN orders ON cargoes.CargoId =orders.CargoId WHERE CargoName !=”Ptt”"
"kargolar tablosundan ptt kargosunu sil","DELETE FROM cargoes WHERE Name= “ptt”"
"ürünler tablosundan ütü ilk ne zaerkek satıldı","SELECT MIN(DateOfSale) FROM products WHERE ProductName= “Ütü”;"
"hastalar tablosundan erkekleri sil","DELETE FROM patientsWHERE gender= “erkek”"
"şehirler tablosundaki nüfusları azdan çoğa doğru şehir isimleriyle beraber ilk ikisini sırala","SELECT Name,Pop FROM cities ORDER BY Pop ASC LIMIT 2;"
"randevular tablosundan metin sahin adlı doktorun erkek hastalarını listele","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”metin sahin” AND Gender=”erkek”"
"şehirler tablosundaki nüfusu en az olan şehiri yazdır","SELECT MIN(Pop ) FROM cities;"
"unvanlar tablosundan temizlikçi personellerini 1975 ten sonra doğan kişileri listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" AND Birth_Day>1975"
"hasta kabul tablosundan çocukları getir","SELECT * FROM patient_admission WHERE Gender= ‘çocuk’"
"filmler tablosundan Özbek yapımı filmlerden en kısa süreli filmi getir","SELECT films.Name, countries.CountryName,MIN(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""Ozbekistan”"
"kargolar tablosundan aras kargosunu sil","DELETE FROM cargoes WHERE Name= “aras”"
"hava durumları tablosunda Ankara iline ait sıcaklık nedir","SELECT CityName FROM weatherConditions WHERE CityName=”Ankara”"
"şehirler tablosundaki nüfuslara göre sırala","SELECT * FROM cities ORDER BY Pop ASC;"
"filmler tablosunda imdb puanı en yüksek olan ilk 2 filmler nelerdir","SELECT * FROM films ORDER BY Imdb_Score DESC LIMIT 2;"
"öğrenciler tablosundaki kız öğrencileri alfabetik sırala","SELECT * FROM students WHERE Gender= “kadın” ORDER BY Name ASC"
"şehirler tablosundaki nüfusları çoktan aza doğru şehir isimleriyle beraber ilk 2 sini sırala","SELECT Name,Pop FROM cities ORDER BY Pop DESC LIMIT 2;"
"ilaçlar tablosundaki tüm ilaç kayıtlarını ve fiyatları sil","DELETE FROM medications ;"
"şehirler tablosundaki nüfusları çoktan aza doğru şehir isimleriyle beraber ilk dördünü getir","SELECT Name,Pop FROM cities ORDER BY Pop ASC LIMIT 4;"
"kargolar tablosundan yutiçi kargosunu sil","DELETE FROM cargoes WHERE Name= “yutiçi”"
"çalışanlar tablosundan sadece kadın çalışanlara ait e mail bilgilerini yazdır","SELECT Name,email FROM employees WHERE Gender=’kadın’"
"ürünler tablosundan bilgisayarın satışı en son ne zaerkekdı","SELECT MAX(DateOfSale) FROM products WHERE ProductName= “Bilgisayar”;"
"randevular tablosundan fatma sahin adlı doktorun kadın hastalarını ekrana getir","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”fatma sahin” AND Gender=”kadın”"
"personeller tablosundan sadece erkeklerin adreslerini ekrana yazdır","SELECT Address FROM employees WHERE Gender= erkek;"
"hastalar tablosundan kan grubu A olan erkek hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ AND Gender =”erkek”"
"hasta kabul tablosundan giriş tarihi son 1 saate ait olan kadın hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE()) AND Gender= ‘kadın’"
"şehirler tablosundaki nüfus sayılarına göre sırala","SELECT * FROM cities ORDER BY Pop DESC"
"ilaçlar tablosundaki tüm fiyatları sil","DELETE FROM medications WHERE Price;"
"kitaplar tablosunda bu ülke adlı kitabın yayınevi ismi nedir","SELECT books.Book_Name,PubHome.YayAd FROM booksINNER JOIN PubHouse ON books.PubNo=PubHome.PubNo WHERE Book_Name=""bu ülke"""
"kargolar tablosundan getir kargosunu sil","DELETE FROM cargoes WHERE Name= “getir”"
"filmler tablosundan 2000 yılından önceki Mısır yapımı filmleri göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""Mısır” AND FilmDate <2000"
"öğrenciler tablosundaki toplam erkek öğrenci sayısı kaçtır","SELECT COUNT (*) FROM students WHERE Gender= “erkek”"
"şehirler tablosundaki nüfusları azdan çoğa doğru şehir isimleriyle beraber ilkini getir","SELECT Name,Pop FROM cities ORDER BY Pop ASC LIMIT 1;"
"filmler tablosundan uzunluğu en fazla olan filmi getir","SELECT MAX(Duration) FROM Films;"
"hastalar tablosundaki kan grubu B olan hastaları yaşlarına göre sırala","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ ORDER BY Age"
"filmler tablosundan çağan ırmaka ait filmleri listele","SELECT * FROM films WHERE Director = 'çağan ırmak ';"
"hava durumları tablosunda en sıcak il hangisi","SELECT CityName FROM weatherConditions WHERE MAX(Temp)"
"ürünler tablosundan birim fiyatı en düşük ürünü getir","SELECT ProductName,MIN(Price) FROM products"
"öğrenciler tablosunda mimarlık bölümüne ait kaç öğrenciler var","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”mimarlık”"
"şehirler tablosundaki nüfusları çoktan aza doğru sırala","SELECT * FROM cities ORDER BY Pop DESC;"
"hammaddeler tablosundan kalan miktar 20 tondan aşağı olanları listele","SELECT Name,Remaining FROM rawMaterials WHERE Remaining <20"
"dersler tablosunda hangi dersler 4 kredilidir","SELECT * FROM lessons WHERE credit=4"
"personeller tablosundan sadece erkeklerin adreslerini ekrana göster","SELECT Address FROM employees WHERE Gender = ‘erkek’"
"tahliller tablosundan durumu acil olan kadın hastaları listele","SELECT patients.Name,tests.State FROM patients INNER JOIN tests ON patients.PatientId=tests.PatientId WHERE State=”Urgent” AND Gender=”kadın”"
"personeller tablosundan aralık ayında doğanların listesi","SELECT * FROM employees WHERE MONTH(Date_of_birth) = 12"
"kitaplar tablosunda serenad adlı kitabın yayınevi ismi","SELECT books.Book_Name,PubHome.YayAd FROM books INNER JOIN PubHouse ON books.PubNo=PubHome.PubNo WHERE Book_Name=”serenad"""
"kargolar tablosundan migros kargosunu sil","DELETE FROM cargoes WHERE Name= “migros”"
"şehirler tablosundaki şehirleri alfabetik sırala","SELECT *FROM cities ORDER BY Name ASC ;"
"filmler tablosunda 2023 de çıkan ilk film hangisi","SELECT FilmName FROM films WHERE FilmDate=2023 ORDER BY FilmDate ASC LIMIT 1"
"personeller tablosundan kadın personellere ait bilgileri getir","SELECT * FROM employees WHERE Gender = ‘kadın’"
"ilaçlar tablosundan ismi aspirin olan ilacın kaydını sil","DELETE FROM medications WHERE Name= “aspirin”"
"dersler tablosunda oya darka hocanın verdiği ders isimlerini getir","SELECT LessonName FROM lessons WHERE Teacher= “oya darka”"
"randevular tablosundan ayse oztur adlı doktora ait sadece kadın hastaları listele","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”ayse oztur” AND Gender=”kadın”"
"kitaplar tablosunda kategorisi psikoloji olan kitapları getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""psikoloji"""
"şehirler tablosundaki nüfusları çoktan aza doğru isimlerle beraber listele","SELECT Name,Pop FROM cities ORDER BY Pop DESC;"
"filmler tablosundan James Wan a ait filmlerin yıllarını listele","SELECT FilmDate FROM Films WHERE Director='James Wan'"
"öğrenciler tablosuna en son eklenen 40 kız öğrenciyi numaralarına göre listele","SELECT * FROM students WHERE Gender= “kadın” ORDER BY No DESC LIMIT 40;"
"personeller tablosundan telefon numarası olmayan kişiler kimler","SELECT * FROM employees WHERE Phone_Number IS NULL"
"kargolar tablosundan çiçek sepeti kargosunu sil","DELETE FROM cargoes WHERE Name= “cicek sepeti”"
"ilaçlar tablosundan ismi viks kremin fiyatını sil","DELETE FROM medications WHERE Name= “viks” AND Price;"
"öğrenciler tablosunda mail adresi eksik olanlar kimlerdir","SELECT * FROM students WHERE Mail IS NULL;"
"öğrenciler tablosundaki erkek öğrencileri alfabeye göre sırala","SELECT * FROM students WHERE Gender= “erkek” ORDER BY Name ASC"
"şehirler tablosundaki tüm şehirleri alfabetik olarak sırala","SELECT * FROM cities ORDER BY Name ASC ;"
"filmler tablosundan Hint yapımı filmlerden en uzun süreli film nedir","SELECT films.Name, countries.CountryName,MAX(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""hindistan”"
"bana hastalar tablosundaki kan grubu AB olan hastaları yaşlarına göre ekrana getir","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB“ ORDER BY Age"
"filmler tablosundan James Wan a ait filmleri sil","DELETE FROM films WHERE Director='James Wan'"
"şehirler tablosundaki şehirleri alfabetik sıralayıp ilk 3 şehri al","SELECT * FROM cities ORDER BY Name ASC LIMIT 3;"
"öğrenciler tablosunda kayıt yenilemeyen kişileri listele","SELECT * FROM students WHERE RenewReg= “False”"
"personeller tablosundan adresi olan herkesi yazdır","SELECT * FROM employees WHERE Address IS NOT NULL;"
"öğrenciler tablosundaki toplam erkek öğrenci sayısı nedir","SELECT COUNT (*) FROM students WHERE Gender= “erkek”"
"ilaçlar tablosundan ismi dolorex olan ilacın fiyatını sil","DELETE FROM medications WHERE Name= 'Dolorex' AND Price;"
"filmler tablosunda memduh ün tarafından yönetilen filmlerin adı nedir","SELECT * FROM films WHERE Director = 'memduh ün'"
"şehirler tablosundaki şehirleri alfabetik sıralayıp ilk üç şehri al","SELECT * FROM cities ORDER BY Name ASC LIMIT 3;"
"şehirler tablosundaki şehirleri alfabetik sırala ve ilk dört şehri al","SELECT * FROM cities ORDER BY Name ASC LIMIT 4;"
"hastalar tablosundan kan grubu A olan kadın hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ AND Gender =”kadın”"
"tedarikçiler tablosundan ülke ile çalıştık göster","SELECT COUNT (DISTINCT Country) FROM Suppliers"
"filmler tablosundan james cameron adlı yönetmenin çektiği filmler nelerdir","SELECT * FROM films WHERE Director = “james cameron”"
"unvanlar tablosundan tıbbi sekreter olanların isimlerini ekrana getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Tıbbi Sekreter"""
"öğrenciler tablosundan 78965 numaralı öğrencinin vize notlarını getir","SELECT students.No,Visa FROM notes WHERE No= 78965;"
"filmler tablosundan asya eren e ait filmleri sil","DELETE FROM films WHERE Director=”asli eren ‘'"
"unvanlar tablosundan erkek uzerkek doktorları doğum tarihlerine göre sırala getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" AND Gender=”erkek” ORDER BY Date_of_birth"
"şehirler tablosundaki şehirleri alfabetik sıralayıp son 5 şehri al","SELECT * FROM cities ORDER BY Name DESC LIMIT 5;"
"kitaplar tablosunda kategorisi çocuk kitapları olan kitapları yazdır","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""çocuk"""
"hastalar tablosundan erkek hastaların tc kimliklerini getir","SELECT IdNumber FROM patients WHERE Gender=”kadın”"
"hastalar tablosundan kan grubu B olan erkek hastaları alfabetik listele","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B “ AND Gender =”erkek” ORDER BY patients.Name ASC"
"filmler tablosundan ayşe dante e ait filmleri sil","DELETE FROM films WHERE Director=”ayse dante ‘'"
"unvanlar tablosundan temizlikçi personellerini göster","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"""
"ürünler tablosundan birim fiyatı en düşük ürün hangisi","SELECT ProductName,MIN(Price) FROM products"
"bölümler tablosundan ingilizce bölümündeki kız öğrencilerin isimleri ve maillerini yazdır","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”İngilizce” AND Gender=”kadın”"
"ders tablosunda hangi ders 4 kredilidir","SELECT * FROM lessons WHERE credit=4"
"kargolar tablosundan yurtiçi kargosunun kullanıldığı ürünleri getir","SELECT cargoes.CargoName,orders.OrderId FROM cargoes INNER JOIN orders ON cargoes.CargoId =orders.CargoId WHERE CargoName=”Yurtiçi”"
"şehirler tablosundaki şehirleri alfabetik sıralayıp son beş şehri getir","SELECT * FROM cities ORDER BY Name DESC LIMIT 5;"
"filmler tablosundan mahmut kar a ait filmleri sil","DELETE FROM films WHERE Director=”mahmut kar ‘'"
"filmler tablosundan James Wan a ait filmlerin yıllarını getir","SELECT FilmDate FROM Films WHERE Director = 'James Wan'"
"kitaplar tablosunda can yayınlarına ait kitap isimlerini alfabetik sıraya göre sırala","SELECT pubHouse.PubName,books.Book_Name,books.PubNo FROM books INNER JOIN PubHome ON books.PubNo=pubHouse.PubNo WHERE PubName=""can yayınları"" ORDER BY Book_Name ASC"
"filmler tablosundan yapım yılı 1999 öncesi filmler hangileri","SELECT * FROM Films WHERE FilmDate< 1999;"
"çalışan tablosundan maaşı 8 bin olanları 10 bin yap","UPDATE employees SET salary= “10000” WHERE salary= “8000”'"
"öğrenciler tablosuna en son eklenen 10 kişiyi getir","SELECT * FROM students ORDER BY No DESC LIMIT 10;"
"kitaplar tablosunda kategorisi bebek kitapları olan kitapları getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""bebek"""
"çiçekler tablosundan nergis kaydını sil","DELETE FROM flowers WHERE Name =’ nergis ';"
"dersler tablosunda hangi dersler 4 krediye sahiptir","SELECT * FROM lessons WHERE credit=4"
"personeller tablosundan murat kece nin ev adresi nedir","SELECT Address FROM employees WHERE Name = 'Murat Kece'"
"ilaçlar tablosundan fiyatı 50 den az olan ilaçları sil","DELETE FROM medications WHERE Price<50"
"unvanlar tablosundan uzerkek doktorları getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"""
"dersler tablosundan kredi sayısı 3 ün üstündeki dersleri getir","SELECT * FROM lessons WHERE credit >3"
"filmler tablosunda imdb puanı en yüksek olan ilk 3 filmleri listele","SELECT * FROM films ORDER BY Imdb_score DESC LIMIT 3;"
"unvanlar tablosundan temizlikçi personellerini 1975 ten önce doğan kişileri göster","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" AND Birth_Day<1975"
"hava durumları tablosunda Trabzon iline ait sıcaklık nedir","SELECT CityName FROM weatherConditions WHERE CityName=”Trabzon”"
"şehirler tablosundaki şehirleri alfabetik sıralayıp son 7 şehri yazdır","SELECT * FROM cities ORDER BY Name DESC LIMIT 7;"
"Müşteriler tablosundan belirli bir e-posta adresine sahip olmayanları müşteriyi sil.","DELETE FROM Customers WHERE Email IS NULL;"
"filmler tablosundan sevgi düş e ait filmleri sil","DELETE FROM films WHERE Director=”sevgi dus ‘'"
"filmler tablosundan İran yapımı filmleri ekrana getir","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”iran”"
"çiçekler tablosundan sünbül kaydını sil","DELETE FROM flowers WHERE Name =’ sunbul';"
"dersler tablosunda ayse dere hocanın verdiği ders isimlerini sırala","SELECT LessonName FROM lessons WHERE Teacher= ayşe dere'"
"çalışan tablosundan maaşı 40 bin olanları 45 bin yap","UPDATE employees SET salary= “45000” WHERE Name= “40000”'"
"kitaplar tablosunda kategorisi islami ilimler olan kitapları getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""islami ilimler"""
"filmler tablosundan yapım yılı 1998 öncesi filmler nelerdir","SELECT * FROM Films WHERE FilmDate< 1998;"
"çiçekler tablosundan kamelya kaydını sil","DELETE FROM flowers WHERE Name =’ kamelya ';"
"filmler tablosundan uzunluğu 120 dakikda dan az olanları getir","SELECT Name, Duration FROM films WHERE Duration <120"
"tedarikçiler tablosundan kaç farklı ülke ile birlikte çalıştık","SELECT COUNT (DISTINCT Country) FROM suppliers"
"filmler tablosundan uraz tan a ait filmleri sil","DELETE FROM films WHERE Director=”uraz tan ‘'"
"ilaçlar tablosundan fiyatı 500 den yukarı olan ilaçları sil","DELETE FROM medications WHERE Price >500"
"müşteriler tablosundaki sadece Türkiye de yaşayan müşterileri listele","SELECT * FROM customers WHERE Country=""Turkiye"""
"çiçekler tablosundan kandil çiçeğini sil","DELETE FROM flowers WHERE Name =’ kandil cicegi';"
"kitaplar tablosunda ketebe yayınlarına ait kayıtları getir","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN pubHouse ON books.PubNo=pubHouse.PubNo WHERE PubName=""ketebe yayınları"""
"çiçekler tablosundan erkekolya kaydını sil","DELETE FROM flowers WHERE Name =’ erkekolya ';"
"öğrenciler tablosuna en son eklenen 40 erkek öğrenciyi numaralarına göre sırala","SELECT * FROM students ORDER BY No DESC LIMIT 40;"
"filmler tablosundan asude dem e ait filmleri sil","DELETE FROM films WHERE Director=”asude dem ‘'"
"filmler tablosundan Avusturya yapımı filmlerden en kısa süreli filmi getir","SELECT films.Name, countries.CountryName,MIN(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Avusturya”"
"şehirler tablosundaki şehirleri alfabetik sıralayıp nüfuslarla beraber son 5 şehri al","SELECT Name,Pop FROM cities ORDER BY Name DESC LIMIT 5;"
"hasta kabul tablosundan id si 45 olan doktor hangisi","SELECT DoktorID FROM patient_admission WHERE DoktorID = 45;"
"personeller tablosundan telefon numarası olmayan kişiler kaç kişi","SELECT COUNT(*) FROM employees WHERE Phone_Number IS NULL;"
"çalışan tablosundan maaşı 10 bin olanları 15 bin yap","UPDATE employees SET salary= “15000” WHERE salary= “10000”'"
"çiçekler tablosundan karagözlüm kaydını sil","DELETE FROM flowers WHERE Name =’ karagozlum';"
"hasta kabul tablosundan giriş tarihi son 5 saate ait olan hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -5, GETDATE())"
"öğrenciler tablosunda maili eksik olanlar kimler","SELECT * FROM students WHERE Mail IS NULL;"
"filmler tablosundan asya eren e ait filmleri sil","DELETE FROM films WHERE Director=”asli eren ‘'"
"şehirler tablosundaki şehir isimlerini sıralayıp nüfusları ile birlikte ilk 10 şehri getir","SELECT Name,Pop FROM cities ORDER BY Name ASC LIMIT 10;"
"ilaçlar tablosundan fiyatı 600 lira olan ilaçları sil","DELETE FROM medications WHERE Price=600"
"bölümler tablosundaki tüm adresleri yazdır","SELECT Address,Name FROM programs"
"unvanlar tablosundan uzerkek doktorları doğum tarihlerine göre sırala getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" ORDER BY Date_of_birth"
"tablolar adlı tablodaki Durum alanını 'Aktif' olarak güncelle, Ad alanı 'John' olan kayıtlarla sınırla:","UPDATE tables state= “active”WHERE name= 'John';"
"çiçekler tablosundan lale kaydını sil","DELETE FROM flowers WHERE Name =’ lale ';"
"filmler tablosundan 2000 yılından önceki Amerikan yapımı filmleri göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”amerika” AND FilmDate <2000"
"dersler tablosunda hangi ders 4 kredilidir","SELECT * FROM lessons WHERE credit=4"
"çiçekler tablosundan karanfil kaydını sil","DELETE FROM flowers WHERE Name =’ karanfil ';"
"müşteriler tablosundaki sadece Türkiye de yaşayan müşterileri göster","SELECT * FROM customers WHERE Country=""Turkiye"""
"şehirler tablosundaki şehir isimlerini sıralayıp nüfusları ile birlikte ilk on şehiri getir","SELECT Name,Pop FROM cities ORDER BY Name ASC LIMIT 10;"
"öğrenciler tablosunda kayıt yenilemeyen isimleri kimler","SELECT * FROM students WHERE RenewReg= “False”"
"çalışan tablosundan seda ismini eda olarak değiştir","UPDATE employees SET Name= “eda” WHERE name= “seda”'"
"filmler tablosundan Mısır yapımı filmleri hangileri","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Mısır”"
"çiçekler tablosundan kartopu kaydını sil","DELETE FROM flowers WHERE Name =’ kartopu';"
"öğrenciler tablosundaki toplam kız öğrenci sayısı kaçtır","SELECT COUNT (*) FROM students WHERE Gender= “kadın”"
"filmler tablosundan yapım yılı 1999 ve öncesi filmler hangileri","SELECT * FROM Films WHERE FilmDate <= 1999;"
"hastalar tablosundan çocukları sil","DELETE FROM patients WHERE gender= “çocuk”"
"ilaçlar tablosundan fiyatı 300 lira olan ilaçları sil","DELETE FROM medications WHERE Price=300"
"bölümler tablosundan müzik bölümünde okuyan kız öğrencilerin isimleri ve maillerini göster","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Müzik” AND Gender=”kadın”"
"kitaplar tablosunda 15. rafta yer alan kitaplari listele","SELECT * FROM books WHERE Shelf = 15;"
